Headwords,# Collocates,Total headwords,# Collocates,Headword,POS,Position,Collocate,POS,Position,Total collocations
,,,3,impression,n,2,give,v,1,
,,,3,impression,n,2,make,v,1,
,,,1,policy,n,2,make,v,1,
,,,1,trend,n,2,show,v,1,
,,,1,living,n,2,make,v,1,
,,,1,competence,n,2,demonstrate,v,1,
,,,1,statistic,n,2,use,v,1,
,,,1,observation,n,2,make,v,1,
,,,1,line,n,2,draw,v,1,
,,,2,conclusion,n,2,draw,v,1,
,,,2,conclusion,n,2,lead,v,1,
,,,1,benefit,n,2,provide,v,1,
,,,1,provision,n,2,make,v,1,
,,,4,difficulty,n,2,encounter,v,1,
,,,4,difficulty,n,2,experience,v,1,
,,,4,difficulty,n,2,face,v,1,
,,,4,difficulty,n,2,present,v,1,
,,,1,dilemma,n,2,face,v,1,
,,,1,threat,n,2,pose,v,1,
,,,1,discrimination,n,2,face,v,1,
,,,3,challenge,n,2,face,v,1,
,,,3,challenge,n,2,pose,v,1,
,,,3,challenge,n,2,present,v,1,
,,,1,assistance,n,2,provide,v,1,
,,,1,priority,n,2,give,v,1,
,,,2,format,n,2,follow,v,1,
,,,2,format,n,2,use,v,1,
,,,1,instruction,n,2,follow,v,1,
,,,2,obligation,n,2,fulfill,v,1,
,,,2,obligation,n,2,have,v,1,
,,,1,potential,n,2,have,v,1,
,,,1,requirement,n,2,meet,v,1,
,,,4,insight,n,2,gain,v,1,
,,,4,insight,n,2,give,v,1,
,,,4,insight,n,2,offer,v,1,
,,,4,insight,n,2,provide,v,1,
,,,1,equality,n,2,promote,v,1,
,,,1,consensus,n,2,reach,v,1,
,,,2,tendency,n,2,have,v,1,
,,,2,tendency,n,2,show,v,1,
,,,1,consent,n,2,give,v,1,
,,,3,emphasis,n,2,give,v,1,
,,,3,emphasis,n,2,place,v,1,
,,,3,emphasis,n,2,shift,v,1,
,,,3,feedback,n,2,give,v,1,
,,,3,feedback,n,2,provide,v,1,
,,,3,feedback,n,2,receive,v,1,
,,,2,guidance,n,2,give,v,1,
,,,2,guidance,n,2,provide,v,1,
,,,1,presentation,n,2,give,v,1,
,,,2,awareness,n,2,increase,v,1,
,,,2,awareness,n,2,raise,v,1,
,,,2,likelihood,n,2,increase,v,1,
,,,2,likelihood,n,2,reduce,v,1,
,,,2,limitation,n,2,have,v,1,
,,,2,limitation,n,2,impose,v,1,
,,,1,expectation,n,2,meet,v,1,
,,,1,constraint,n,2,impose,v,1,
,,,1,restriction,n,2,impose,v,1,
,,,1,arrangement,n,2,make,v,1,
,,,1,treaty,n,2,sign,v,1,
,,,1,legislation,n,2,introduce,v,1,
,,,1,finding,n,2,report,v,1,
,,,1,contribution,n,2,make,v,1,
,,,1,adjustment,n,2,make,v,1,
,,,1,comment,n,2,make,v,1,
,,,1,prediction,n,2,make,v,1,
,,,1,recommendation,n,2,make,v,1,
,,,1,transition,n,2,make,v,1,
,,,1,judgment,n,2,make,v,1,
,,,1,coverage,n,2,provide,v,1,
,,,2,criterion,n,2,meet,v,1,
,,,2,criterion,n,2,use,v,1,
,,,1,initiative,n,2,take,v,1,
,,,1,agenda,n,2,set,v,1,
,,,1,care,n,2,provide,v,1,
,,,1,material,n,2,provide,v,1,
,,,1,clue,n,2,provide,v,1,
,,,1,foundation,n,2,provide,v,1,
,,,1,alternative,n,2,provide,v,1,
,,,1,illustration,n,2,provide,v,1,
,,,1,article,n,2,publish,v,1,
,,,1,peak,n,2,reach,v,1,
,,,1,emission,n,2,reduce,v,1,
,,,1,methodology,n,2,use,v,1,
,,,1,dispute,n,2,resolve,v,1,
,,,1,help,n,2,seek,v,1,
,,,1,parameter,n,2,set,v,1,
,,,1,precedence,n,2,take,v,1,
