Headwords,# Collocates,Total headwords,# Collocates,Headword,POS,Position,Collocate,POS,Position,Total collocations
sensitive,3,,2,similar,adj,2,remarkably,adv,1,
straightforward,2,,1,simple,adj,2,relatively,adv,1,
surprising,1,,1,skilled,adj,2,highly,adv,1,
desirable,2,,2,specific,adj,2,culturally,adv,1,
efficient,1,,2,specific,adj,2,historically,adv,1,
influential,2,,1,striking,adj,2,particularly,adv,1,
problematic,1,,2,successful,adj,2,highly,adv,1,
selective,1,,2,successful,adj,2,particularly,adv,1,
sophisticated,2,,2,useful,adj,2,extremely,adv,1,
unlikely,1,,2,useful,adj,2,particularly,adv,1,
variable,1,,1,valid,adj,2,equally,adv,1,
difficult,1,,2,valuable,adj,2,extremely,adv,1,
exclusive,1,,2,valuable,adj,2,particularly,adv,1,
occurring,1,,5,aware,adj,2,acutely,adv,1,
emerging,1,,5,aware,adj,2,fully,adv,1,
acute,1,,5,aware,adj,2,increasingly,adv,1,
dangerous,1,,5,aware,adj,2,keenly,adv,1,
few,1,,5,aware,adj,2,well,adv,1,
rare,1,,1,identical,adj,2,almost,adv,1,
stable,1,,2,apparent,adj,2,immediately,adv,1,
impossible,1,,2,apparent,adj,2,particularly,adv,1,
,,,2,evident,adj,2,clearly,adv,1,
,,,2,evident,adj,2,particularly,adv,1,
,,,1,visible,adj,2,clearly,adv,1,
,,,3,important,adj,2,clearly,adv,1,
,,,3,important,adj,2,equally,adv,1,
,,,3,important,adj,2,increasingly,adv,1,
,,,1,proportional,adj,2,directly,adv,1,
,,,5,responsible,adj,2,directly,adv,1,
,,,5,responsible,adj,2,largely,adv,1,
,,,5,responsible,adj,2,partly,adv,1,
,,,5,responsible,adj,2,primarily,adv,1,
,,,5,responsible,adj,2,socially,adv,1,
,,,2,accessible,adj,2,easily,adv,1,
,,,2,accessible,adj,2,readily,adv,1,
,,,9,different,adj,2,entirely,adv,1,
,,,9,different,adj,2,fundamentally,adv,1,
,,,9,different,adj,2,markedly,adv,1,
,,,9,different,adj,2,qualitatively,adv,1,
,,,9,different,adj,2,radically,adv,1,
,,,9,different,adj,2,slightly,adv,1,
,,,9,different,adj,2,substantially,adv,1,
,,,9,different,adj,2,totally,adv,1,
,,,9,different,adj,2,widely,adv,1,
,,,1,true,adj,2,equally,adv,1,
,,,3,sensitive,adj,2,extremely,adv,1,
,,,3,sensitive,adj,2,highly,adv,1,
,,,3,sensitive,adj,2,particularly,adv,1,
,,,2,straightforward,adj,2,fairly,adv,1,
,,,2,straightforward,adj,2,relatively,adv,1,
,,,1,surprising,adj,2,hardly,adv,1,
,,,2,desirable,adj,2,highly,adv,1,
,,,2,desirable,adj,2,socially,adv,1,
,,,1,efficient,adj,2,highly,adv,1,
,,,2,influential,adj,2,highly,adv,1,
,,,2,influential,adj,2,particularly,adv,1,
,,,1,problematic,adj,2,highly,adv,1,
,,,1,selective,adj,2,highly,adv,1,
,,,2,sophisticated,adj,2,highly,adv,1,
,,,2,sophisticated,adj,2,increasingly,adv,1,
,,,1,unlikely,adj,2,highly,adv,1,
,,,1,variable,adj,2,highly,adv,1,
,,,1,difficult,adj,2,increasingly,adv,1,
,,,1,exclusive,adj,2,mutually,adv,1,
,,,1,occurring,adj,2,naturally,adv,1,
,,,1,emerging,adj,2,newly,adv,1,
,,,1,acute,adj,2,particularly,adv,1,
,,,1,dangerous,adj,2,potentially,adv,1,
,,,1,few,adj,2,relatively,adv,1,
,,,1,rare,adj,2,relatively,adv,1,
,,,1,stable,adj,2,relatively,adv,1,
,,,1,impossible,adj,2,virtually,adv,1,
