Headwords,# Collocates,Total headwords,# Collocates,Headword,POS,Position,Collocate,POS,Position,Total collocations
,,,2,process,v,1,information,n,2,
,,,2,promote,v,1,equality,n,2,
,,,2,promote,v,1,development,n,2,
,,,28,provide,v,1,access,n,2,
,,,28,provide,v,1,assistance,n,2,
,,,28,provide,v,1,care,n,2,
,,,28,provide,v,1,context,n,2,
,,,28,provide,v,1,coverage,n,2,
,,,28,provide,v,1,data,n,2,
,,,28,provide,v,1,evidence,n,2,
,,,28,provide,v,1,feedback,n,2,
,,,28,provide,v,1,guidance,n,2,
,,,28,provide,v,1,information,n,2,
,,,28,provide,v,1,material,n,2,
,,,28,provide,v,1,resource,n,2,
,,,28,provide,v,1,support,n,2,
,,,28,provide,v,1,insight,n,2,
,,,28,provide,v,1,benefit,n,2,
,,,28,provide,v,1,clue,n,2,
,,,28,provide,v,1,focus,n,2,
,,,28,provide,v,1,foundation,n,2,
,,,28,provide,v,1,service,n,2,
,,,28,provide,v,1,source,n,2,
,,,28,provide,v,1,summary,n,2,
,,,28,provide,v,1,alternative,n,2,
,,,28,provide,v,1,example,n,2,
,,,28,provide,v,1,explanation,n,2,
,,,28,provide,v,1,illustration,n,2,
,,,28,provide,v,1,indication,n,2,
,,,28,provide,v,1,opportunity,n,2,
,,,28,provide,v,1,overview,n,2,
,,,4,publish,v,1,research,n,2,
,,,4,publish,v,1,journal,n,2,
,,,4,publish,v,1,report,n,2,
,,,4,publish,v,1,article,n,2,
,,,3,raise,v,1,awareness,n,2,
,,,3,raise,v,1,question,n,2,
,,,3,raise,v,1,issue,n,2,
,,,3,reach,v,1,consensus,n,2,
,,,3,reach,v,1,peak,n,2,
,,,3,reach,v,1,agreement,n,2,
,,,3,receive,v,1,feedback,n,2,
,,,3,receive,v,1,information,n,2,
,,,3,receive,v,1,treatment,n,2,
,,,1,record,v,1,data,n,2,
,,,3,reduce,v,1,emission,n,2,
,,,3,reduce,v,1,stress,n,2,
,,,3,reduce,v,1,likelihood,n,2,
,,,2,report,v,1,data,n,2,
,,,2,report,v,1,finding,n,2,
,,,3,require,v,1,consideration,n,2,
,,,3,require,v,1,knowledge,n,2,
,,,3,require,v,1,resource,n,2,
,,,2,resolve,v,1,conflict,n,2,
,,,2,resolve,v,1,dispute,n,2,
,,,1,review,v,1,study,n,2,
,,,2,seek,v,1,help,n,2,
,,,2,seek,v,1,information,n,2,
,,,1,serve,v,1,function,n,2,
,,,5,set,v,1,goal,n,2,
,,,5,set,v,1,target,n,2,
,,,5,set,v,1,objective,n,2,
,,,5,set,v,1,agenda,n,2,
,,,5,set,v,1,parameter,n,2,
,,,1,share,v,1,information,n,2,
,,,1,shift,v,1,emphasis,n,2,
,,,4,show,v,1,evidence,n,2,
,,,4,show,v,1,variation,n,2,
,,,4,show,v,1,tendency,n,2,
,,,4,show,v,1,trend,n,2,
,,,1,sign,v,1,treaty,n,2,
,,,1,start,v,1,process,n,2,
,,,2,store,v,1,data,n,2,
,,,2,store,v,1,information,n,2,
,,,1,support,v,1,argument,n,2,
,,,6,take,v,1,initiative,n,2,
,,,6,take,v,1,precedence,n,2,
,,,6,take,v,1,responsibility,n,2,
,,,6,take,v,1,role,n,2,
,,,6,take,v,1,approach,n,2,
,,,6,take,v,1,consideration,n,2,
,,,1,test,v,1,theory,n,2,
,,,2,transmit,v,1,data,n,2,
,,,2,transmit,v,1,information,n,2,
,,,3,undertake,v,1,research,n,2,
,,,3,undertake,v,1,work,n,2,
,,,3,undertake,v,1,activity,n,2,
,,,16,use,v,1,criterion,n,2,
,,,16,use,v,1,resource,n,2,
,,,16,use,v,1,statistic,n,2,
,,,16,use,v,1,format,n,2,
,,,16,use,v,1,method,n,2,
,,,16,use,v,1,methodology,n,2,
,,,16,use,v,1,procedure,n,2,
,,,16,use,v,1,source,n,2,
,,,16,use,v,1,strategy,n,2,
,,,16,use,v,1,technique,n,2,
,,,16,use,v,1,theory,n,2,
,,,16,use,v,1,approach,n,2,
,,,16,use,v,1,analysis,n,2,
,,,16,use,v,1,definition,n,2,
,,,16,use,v,1,concept,n,2,
,,,16,use,v,1,data,n,2,
