Headwords,# Collocates,Total headwords,# Collocates,Headword,POS,Position,Collocate,POS,Position,Total collocations
support,10,,23,information,n,2,useful,adj,1,
issue,27,,23,information,n,2,valuable,adj,1,
practice,8,,3,learning,n,2,collaborative,adj,1,
approach,18,,3,learning,n,2,experiential,adj,1,
economy,7,,3,learning,n,2,lifelong,adj,1,
technology,4,,6,medium,n,2,digital,adj,1,
effect,11,,6,medium,n,2,electronic,adj,1,
reaction,4,,6,medium,n,2,global,adj,1,
development,13,,6,medium,n,2,national,adj,1,
access,11,,6,medium,n,2,popular,adj,1,
explanation,4,,6,medium,n,2,visual,adj,1,
form,6,,2,minority,n,2,ethnic,adj,1,
interpretation,4,,2,minority,n,2,small,adj,1,
mean,3,,4,party,n,2,interested,adj,1,
method,11,,4,party,n,2,political,adj,1,
model,3,,4,party,n,2,ruling,adj,1,
solution,2,,4,party,n,2,third,adj,1,
strategy,2,,1,planning,n,2,strategic,adj,1,
view,5,,12,problem,n,2,additional,adj,1,
way,3,,12,problem,n,2,central,adj,1,
evidence,20,,12,problem,n,2,complex,adj,1,
tool,3,,12,problem,n,2,ethical,adj,1,
conference,3,,12,problem,n,2,financial,adj,1,
meeting,1,,12,problem,n,2,fundamental,adj,1,
rate,4,,12,problem,n,2,major,adj,1,
report,1,,12,problem,n,2,methodological,adj,1,
review,4,,12,problem,n,2,potential,adj,1,
theory,8,,12,problem,n,2,related,adj,1,
action,5,,12,problem,n,2,specific,adj,1,
condition,8,,12,problem,n,2,technical,adj,1,
language,4,,26,research,n,2,academic,adj,1,
level,7,,26,research,n,2,basic,adj,1,
point,7,,26,research,n,2,comparative,adj,1,
response,3,,26,research,n,2,considerable,adj,1,
treatment,7,,26,research,n,2,current,adj,1,
intelligence,2,,26,research,n,2,early,adj,1,
impact,13,,26,research,n,2,educational,adj,1,
process,12,,26,research,n,2,empirical,adj,1,
factor,19,,26,research,n,2,existing,adj,1,
energy,4,,26,research,n,2,experimental,adj,1,
score,3,,26,research,n,2,extensive,adj,1,
assumption,5,,26,research,n,2,further,adj,1,
component,7,,26,research,n,2,future,adj,1,
element,9,,26,research,n,2,initial,adj,1,
function,6,,26,research,n,2,little,adj,1,
premise,1,,26,research,n,2,original,adj,1,
principle,11,,26,research,n,2,past,adj,1,
structure,15,,26,research,n,2,previous,adj,1,
technique,2,,26,research,n,2,primary,adj,1,
focus,7,,26,research,n,2,published,adj,1,
opposition,1,,26,research,n,2,qualitative,adj,1,
system,10,,26,research,n,2,quantitative,adj,1,
evolution,1,,26,research,n,2,recent,adj,1,
science,3,,26,research,n,2,scholarly,adj,1,
sex,2,,26,research,n,2,scientific,adj,1,
account,3,,26,research,n,2,traditional,adj,1,
discussion,5,,2,risk,n,2,increased,adj,1,
history,4,,2,risk,n,2,potential,adj,1,
introduction,2,,1,security,n,2,national,adj,1,
overview,3,,1,service,n,2,military,adj,1,
period,9,,16,source,n,2,alternative,adj,1,
summary,2,,16,source,n,2,common,adj,1,
time,3,,16,source,n,2,external,adj,1,
agreement,3,,16,source,n,2,key,adj,1,
category,3,,16,source,n,2,main,adj,1,
definition,4,,16,source,n,2,major,adj,1,
range,11,,16,source,n,2,multiple,adj,1,
spectrum,2,,16,source,n,2,original,adj,1,
context,13,,16,source,n,2,possible,adj,1,
sector,4,,16,source,n,2,potential,adj,1,
transaction,1,,16,source,n,2,primary,adj,1,
country,3,,16,source,n,2,principal,adj,1,
society,11,,16,source,n,2,rich,adj,1,
opportunity,4,,16,source,n,2,secondary,adj,1,
analysis,17,,16,source,n,2,single,adj,1,
attention,3,,16,source,n,2,useful,adj,1,
consideration,5,,5,state,n,2,democratic,adj,1,
task,2,,5,state,n,2,federal,adj,1,
link,3,,5,state,n,2,independent,adj,1,
relation,2,,5,state,n,2,mental,adj,1,
relationship,17,,5,state,n,2,sovereign,adj,1,
consequence,9,,2,survey,n,2,national,adj,1,
authority,4,,2,survey,n,2,recent,adj,1,
concern,4,,2,test,n,2,diagnostic,adj,1,
control,3,,2,test,n,2,statistical,adj,1,
core,1,,2,thinking,n,2,creative,adj,1,
feature,20,,2,thinking,n,2,critical,adj,1,
importance,11,,1,thought,n,2,careful,adj,1,
part,9,,1,transport,n,2,public,adj,1,
position,8,,3,welfare,n,2,economic,adj,1,
question,8,,3,welfare,n,2,public,adj,1,
tenet,1,,3,welfare,n,2,social,adj,1,
theme,6,,6,concept,n,2,abstract,adj,1,
aspect,13,,6,concept,n,2,basic,adj,1,
characteristic,11,,6,concept,n,2,central,adj,1,
circumstance,9,,6,concept,n,2,defining,adj,1,
attitude,6,,6,concept,n,2,key,adj,1,
nature,3,,6,concept,n,2,theoretical,adj,1,
need,5,,1,achievement,n,2,academic,adj,1,
pattern,4,,1,circle,n,2,academic,adj,1,
case,4,,8,community,n,2,academic,adj,1,
consciousness,1,,8,community,n,2,ethnic,adj,1,
example,6,,8,community,n,2,international,adj,1,
text,5,,8,community,n,2,local,adj,1,
boundary,3,,8,community,n,2,rural,adj,1,
distinction,2,,8,community,n,2,scientific,adj,1,
indication,1,,8,community,n,2,virtual,adj,1,
statement,3,,8,community,n,2,wide,adj,1,
change,13,,8,debate,n,2,academic,adj,1,
contact,7,,8,debate,n,2,considerable,adj,1,
proximity,2,,8,debate,n,2,contemporary,adj,1,
scrutiny,2,,8,debate,n,2,heated,adj,1,
examination,3,,8,debate,n,2,ongoing,adj,1,
inspection,1,,8,debate,n,2,political,adj,1,
look,1,,8,debate,n,2,public,adj,1,
ability,1,,8,debate,n,2,theoretical,adj,1,
identity,9,,1,discipline,n,2,academic,adj,1,
memory,1,,4,discourse,n,2,academic,adj,1,
activity,10,,4,discourse,n,2,dominant,adj,1,
offence,2,,4,discourse,n,2,public,adj,1,
ancestor,1,,4,discourse,n,2,scientific,adj,1,
culture,9,,9,institution,n,2,academic,adj,1,
error,3,,9,institution,n,2,cultural,adj,1,
usage,1,,9,institution,n,2,democratic,adj,1,
argument,7,,9,institution,n,2,educational,adj,1,
reason,5,,9,institution,n,2,financial,adj,1,
market,6,,9,institution,n,2,national,adj,1,
pressure,3,,9,institution,n,2,political,adj,1,
area,17,,9,institution,n,2,public,adj,1,
interaction,4,,9,institution,n,2,social,adj,1,
set,1,,4,journal,n,2,academic,adj,1,
situation,2,,4,journal,n,2,international,adj,1,
framework,5,,4,journal,n,2,online,adj,1,
effort,2,,4,journal,n,2,scholarly,adj,1,
remark,1,,3,life,n,2,academic,adj,1,
section,6,,3,life,n,2,contemporary,adj,1,
probability,3,,3,life,n,2,cultural,adj,1,
interest,10,,4,performance,n,2,academic,adj,1,
implication,4,,4,performance,n,2,improved,adj,1,
amount,6,,4,performance,n,2,overall,adj,1,
degree,4,,4,performance,n,2,superior,adj,1,
detail,3,,7,skill,n,2,academic,adj,1,
extent,1,,7,skill,n,2,appropriate,adj,1,
influence,7,,7,skill,n,2,cognitive,adj,1,
variation,6,,7,skill,n,2,core,adj,1,
result,7,,7,skill,n,2,interpersonal,adj,1,
existence,1,,7,skill,n,2,technical,adj,1,
growth,3,,7,skill,n,2,transferable,adj,1,
use,2,,21,study,n,2,academic,adj,1,
wisdom,1,,21,study,n,2,classic,adj,1,
meaning,4,,21,study,n,2,comparative,adj,1,
value,12,,21,study,n,2,detailed,adj,1,
topic,2,,21,study,n,2,early,adj,1,
environment,7,,21,study,n,2,empirical,adj,1,
impression,1,,21,study,n,2,experimental,adj,1,
essay,1,,21,study,n,2,further,adj,1,
evaluation,1,,21,study,n,2,future,adj,1,
inquiry,1,,21,study,n,2,historical,adj,1,
perspective,6,,21,study,n,2,intensive,adj,1,
reflection,1,,21,study,n,2,longitudinal,adj,1,
difference,13,,21,study,n,2,numerous,adj,1,
dimension,3,,21,study,n,2,previous,adj,1,
diversity,3,,21,study,n,2,qualitative,adj,1,
heritage,1,,21,study,n,2,quantitative,adj,1,
norm,2,,21,study,n,2,recent,adj,1,
phenomenon,2,,21,study,n,2,seminal,adj,1,
significance,7,,21,study,n,2,subsequent,adj,1,
tradition,3,,21,study,n,2,systematic,adj,1,
policy,10,,21,study,n,2,theoretical,adj,1,
status,12,,2,success,n,2,academic,adj,1,
trend,5,,2,success,n,2,economic,adj,1,
living,1,,17,work,n,2,academic,adj,1,
understanding,3,,17,work,n,2,classic,adj,1,
attempt,1,,17,work,n,2,creative,adj,1,
variable,5,,17,work,n,2,early,adj,1,
statistic,2,,17,work,n,2,empirical,adj,1,
stage,4,,17,work,n,2,experimental,adj,1,
communication,6,,17,work,n,2,intellectual,adj,1,
observation,1,,17,work,n,2,late,adj,1,
income,5,,17,work,n,2,original,adj,1,
group,9,,17,work,n,2,pioneering,adj,1,
type,2,,17,work,n,2,previous,adj,1,
line,1,,17,work,n,2,professional,adj,1,
sphere,3,,17,work,n,2,published,adj,1,
violence,2,,17,work,n,2,scholarly,adj,1,
ideology,2,,17,work,n,2,seminal,adj,1,
paradigm,1,,17,work,n,2,subsequent,adj,1,
increase,2,,17,work,n,2,theoretical,adj,1,
conclusion,2,,7,world,n,2,academic,adj,1,
force,5,,7,world,n,2,capitalist,adj,1,
equilibrium,1,,7,world,n,2,changing,adj,1,
version,8,,7,world,n,2,contemporary,adj,1,
decade,4,,7,world,n,2,external,adj,1,
affair,3,,7,world,n,2,natural,adj,1,
benefit,2,,7,world,n,2,physical,adj,1,
crisis,1,,4,writing,n,2,academic,adj,1,
exploitation,2,,4,writing,n,2,critical,adj,1,
inequality,2,,4,writing,n,2,historical,adj,1,
integration,2,,4,writing,n,2,late,adj,1,
power,9,,1,year,n,2,academic,adj,1,
prosperity,1,,4,responsibility,n,2,individual,adj,1,
reform,3,,4,responsibility,n,2,personal,adj,1,
stability,2,,4,responsibility,n,2,primary,adj,1,
programme,1,,4,responsibility,n,2,social,adj,1,
provision,1,,6,behaviour,n,2,acceptable,adj,1,
qualification,2,,6,behaviour,n,2,appropriate,adj,1,
setting,2,,6,behaviour,n,2,human,adj,1,
implementation,2,,6,behaviour,n,2,individual,adj,1,
intervention,1,,6,behaviour,n,2,sexual,adj,1,
management,6,,6,behaviour,n,2,social,adj,1,
investigation,3,,2,description,n,2,accurate,adj,1,
difficulty,1,,2,description,n,2,brief,adj,1,
damage,1,,1,measurement,n,2,accurate,adj,1,
degradation,1,,2,picture,n,2,accurate,adj,1,
pollution,1,,2,picture,n,2,overall,adj,1,
protection,2,,2,record,n,2,accurate,adj,1,
order,3,,2,record,n,2,historical,adj,1,
dilemma,2,,3,goal,n,2,common,adj,1,
origin,1,,3,goal,n,2,economic,adj,1,
design,2,,3,goal,n,2,ultimate,adj,1,
threat,2,,3,objective,n,2,key,adj,1,
discrimination,2,,3,objective,n,2,primary,adj,1,
challenge,2,,3,objective,n,2,strategic,adj,1,
expression,1,,6,outcome,n,2,desired,adj,1,
agency,2,,6,outcome,n,2,final,adj,1,
movement,6,,6,outcome,n,2,likely,adj,1,
answer,1,,6,outcome,n,2,negative,adj,1,
chapter,7,,6,outcome,n,2,positive,adj,1,
decision,3,,6,outcome,n,2,possible,adj,1,
phase,4,,8,knowledge,n,2,historical,adj,1,
product,2,,8,knowledge,n,2,personal,adj,1,
step,1,,8,knowledge,n,2,previous,adj,1,
assistance,3,,8,knowledge,n,2,prior,adj,1,
number,6,,8,knowledge,n,2,professional,adj,1,
author,2,,8,knowledge,n,2,specific,adj,1,
draft,1,,8,knowledge,n,2,tacit,adj,1,
encounter,1,,8,knowledge,n,2,technical,adj,1,
generation,4,,2,involvement,n,2,active,adj,1,
priority,3,,2,involvement,n,2,direct,adj,1,
format,1,,1,participant,n,2,active,adj,1,
currency,2,,4,participation,n,2,active,adj,1,
investment,2,,4,participation,n,2,effective,adj,1,
investor,1,,4,participation,n,2,full,adj,1,
obligation,1,,4,participation,n,2,political,adj,1,
potential,2,,15,role,n,2,active,adj,1,
requirement,3,,15,role,n,2,central,adj,1,
prospect,1,,15,role,n,2,critical,adj,1,
insight,1,,15,role,n,2,crucial,adj,1,
equality,3,,15,role,n,2,direct,adj,1,
stereotype,2,,15,role,n,2,dominant,adj,1,
consensus,2,,15,role,n,2,essential,adj,1,
formula,1,,15,role,n,2,key,adj,1,
tendency,4,,15,role,n,2,leading,adj,1,
distribution,2,,15,role,n,2,major,adj,1,
location,1,,15,role,n,2,minor,adj,1,
consent,1,,15,role,n,2,pivotal,adj,1,
emphasis,5,,15,role,n,2,prominent,adj,1,
feedback,2,,15,role,n,2,significant,adj,1,
presentation,1,,15,role,n,2,vital,adj,1,
capitalism,2,,2,cost,n,2,additional,adj,1,
marketplace,1,,2,cost,n,2,rising,adj,1,
network,1,,10,resource,n,2,additional,adj,1,
shift,3,,10,resource,n,2,available,adj,1,
trade,1,,10,resource,n,2,economic,adj,1,
village,1,,10,resource,n,2,electronic,adj,1,
expenditure,1,,10,resource,n,2,financial,adj,1,
representation,4,,10,resource,n,2,limited,adj,1,
accuracy,1,,10,resource,n,2,natural,adj,1,
majority,5,,10,resource,n,2,scarce,adj,1,
proportion,6,,10,resource,n,2,sufficient,adj,1,
autonomy,2,,10,resource,n,2,valuable,adj,1,
awareness,5,,10,support,n,2,additional,adj,1,
flexibility,1,,10,support,n,2,considerable,adj,1,
likelihood,1,,10,support,n,2,emotional,adj,1,
concentration,1,,10,support,n,2,empirical,adj,1,
correlation,5,,10,support,n,2,financial,adj,1,
expectation,2,,10,support,n,2,institutional,adj,1,
incidence,1,,10,support,n,2,mutual,adj,1,
intensity,2,,10,support,n,2,professional,adj,1,
percentage,4,,10,support,n,2,technical,adj,1,
profile,2,,10,support,n,2,widespread,adj,1,
quality,3,,27,issue,n,2,central,adj,1,
standard,4,,27,issue,n,2,complex,adj,1,
turnover,2,,27,issue,n,2,contemporary,adj,1,
unemployment,2,,27,issue,n,2,controversial,adj,1,
frequency,2,,27,issue,n,2,core,adj,1,
education,3,,27,issue,n,2,critical,adj,1,
event,1,,27,issue,n,2,cultural,adj,1,
reality,3,,27,issue,n,2,current,adj,1,
root,1,,27,issue,n,2,environmental,adj,1,
specie,1,,27,issue,n,2,ethical,adj,1,
good,1,,27,issue,n,2,global,adj,1,
competition,1,,27,issue,n,2,key,adj,1,
demand,2,,27,issue,n,2,legal,adj,1,
production,2,,27,issue,n,2,main,adj,1,
productivity,1,,27,issue,n,2,major,adj,1,
complexity,1,,27,issue,n,2,methodological,adj,1,
people,1,,27,issue,n,2,practical,adj,1,
population,2,,27,issue,n,2,real,adj,1,
choice,2,,27,issue,n,2,related,adj,1,
experience,6,,27,issue,n,2,relevant,adj,1,
item,1,,27,issue,n,2,similar,adj,1,
right,3,,27,issue,n,2,single,adj,1,
nation,1,,27,issue,n,2,special,adj,1,
arrangement,1,,27,issue,n,2,specific,adj,1,
property,4,,27,issue,n,2,technical,adj,1,
organ,1,,27,issue,n,2,theoretical,adj,1,
body,2,,27,issue,n,2,wide,adj,1,
organization,3,,8,practice,n,2,administrative,adj,1,
treaty,1,,8,practice,n,2,cultural,adj,1,
legislation,2,,8,practice,n,2,established,adj,1,
finding,3,,8,practice,n,2,normal,adj,1,
player,1,,8,practice,n,2,professional,adj,1,
portion,3,,8,practice,n,2,reflective,adj,1,
quantity,3,,8,practice,n,2,religious,adj,1,
basis,2,,8,practice,n,2,traditional,adj,1,
proceeding,1,,18,approach,n,2,alternative,adj,1,
rule,1,,18,approach,n,2,analytical,adj,1,
measure,1,,18,approach,n,2,common,adj,1,
democracy,3,,18,approach,n,2,comprehensive,adj,1,
capacity,1,,18,approach,n,2,critical,adj,1,
sense,2,,18,approach,n,2,flexible,adj,1,
organism,1,,18,approach,n,2,general,adj,1,
duration,3,,18,approach,n,2,holistic,adj,1,
advantage,1,,18,approach,n,2,integrated,adj,1,
cause,2,,18,approach,n,2,logical,adj,1,
contribution,2,,18,approach,n,2,methodological,adj,1,
adjustment,1,,18,approach,n,2,qualitative,adj,1,
comment,1,,18,approach,n,2,quantitative,adj,1,
dominance,1,,18,approach,n,2,similar,adj,1,
worker,4,,18,approach,n,2,standard,adj,1,
contrast,4,,18,approach,n,2,systematic,adj,1,
criterion,1,,18,approach,n,2,theoretical,adj,1,
health,2,,18,approach,n,2,traditional,adj,1,
illness,1,,7,economy,n,2,advanced,adj,1,
wage,1,,7,economy,n,2,capitalist,adj,1,
philosophy,3,,7,economy,n,2,global,adj,1,
recognition,1,,7,economy,n,2,local,adj,1,
trust,1,,7,economy,n,2,national,adj,1,
average,1,,7,economy,n,2,political,adj,1,
press,1,,7,economy,n,2,rural,adj,1,
speaker,1,,4,technology,n,2,advanced,adj,1,
disaster,1,,4,technology,n,2,current,adj,1,
law,1,,4,technology,n,2,digital,adj,1,
connotation,2,,4,technology,n,2,modern,adj,1,
side,1,,11,effect,n,2,adverse,adj,1,
initiative,1,,11,effect,n,2,beneficial,adj,1,
exception,1,,11,effect,n,2,combined,adj,1,
family,1,,11,effect,n,2,dramatic,adj,1,
war,1,,11,effect,n,2,environmental,adj,1,
weapon,1,,11,effect,n,2,negative,adj,1,
database,1,,11,effect,n,2,overall,adj,1,
leader,1,,11,effect,n,2,positive,adj,1,
intent,1,,11,effect,n,2,profound,adj,1,
aim,2,,11,effect,n,2,significant,adj,1,
individual,4,,11,effect,n,2,similar,adj,1,
safety,1,,4,reaction,n,2,adverse,adj,1,
space,2,,4,reaction,n,2,chemical,adj,1,
appearance,1,,4,reaction,n,2,emotional,adj,1,
presence,1,,4,reaction,n,2,strong,adj,1,
symptom,1,,13,development,n,2,cognitive,adj,1,
activism,1,,13,development,n,2,further,adj,1,
agenda,1,,13,development,n,2,future,adj,1,
arena,1,,13,development,n,2,historical,adj,1,
instability,1,,13,development,n,2,industrial,adj,1,
mobilization,1,,13,development,n,2,normal,adj,1,
image,3,,13,development,n,2,physical,adj,1,
customer,1,,13,development,n,2,professional,adj,1,
harm,1,,13,development,n,2,regional,adj,1,
death,1,,13,development,n,2,significant,adj,1,
election,1,,13,development,n,2,subsequent,adj,1,
paragraph,1,,13,development,n,2,technological,adj,1,
care,1,,13,development,n,2,urban,adj,1,
purpose,2,,11,access,n,2,direct,adj,1,
colleague,1,,11,access,n,2,easy,adj,1,
staff,1,,11,access,n,2,electronic,adj,1,
training,1,,11,access,n,2,equal,adj,1,
member,1,,11,access,n,2,free,adj,1,
material,3,,11,access,n,2,limited,adj,1,
administration,1,,11,access,n,2,online,adj,1,
display,1,,11,access,n,2,open,adj,1,
domain,1,,11,access,n,2,public,adj,1,
fund,1,,11,access,n,2,ready,adj,1,
perception,2,,11,access,n,2,unlimited,adj,1,
literature,3,,4,explanation,n,2,alternative,adj,1,
critique,1,,4,explanation,n,2,further,adj,1,
transformation,2,,4,explanation,n,2,plausible,adj,1,
sample,1,,4,explanation,n,2,possible,adj,1,
expansion,1,,6,form,n,2,alternative,adj,1,
merit,1,,6,form,n,2,appropriate,adj,1,
belief,2,,6,form,n,2,dominant,adj,1,
faith,1,,6,form,n,2,modified,adj,1,
freedom,1,,6,form,n,2,specific,adj,1,
edition,1,,6,form,n,2,traditional,adj,1,
objectivity,1,,4,interpretation,n,2,alternative,adj,1,
entity,2,,4,interpretation,n,2,correct,adj,1,
abuse,1,,4,interpretation,n,2,historical,adj,1,
act,1,,4,interpretation,n,2,literal,adj,1,
intercourse,1,,3,mean,n,2,alternative,adj,1,
orientation,1,,3,mean,n,2,shared,adj,1,
figure,1,,3,mean,n,2,useful,adj,1,
improvement,1,,11,method,n,2,alternative,adj,1,
reduction,1,,11,method,n,2,common,adj,1,
fraction,1,,11,method,n,2,effective,adj,1,
construct,1,,11,method,n,2,experimental,adj,1,
exclusion,1,,11,method,n,2,modern,adj,1,
isolation,1,,11,method,n,2,qualitative,adj,1,
mobility,1,,11,method,n,2,quantitative,adj,1,
panel,1,,11,method,n,2,scientific,adj,1,
reference,1,,11,method,n,2,standard,adj,1,
bond,1,,11,method,n,2,statistical,adj,1,
audience,1,,11,method,n,2,traditional,adj,1,
expertise,1,,3,model,n,2,alternative,adj,1,
term,1,,3,model,n,2,original,adj,1,
advance,1,,3,model,n,2,theoretical,adj,1,
innovation,1,,2,solution,n,2,alternative,adj,1,
progress,1,,2,solution,n,2,optimal,adj,1,
centre,1,,2,strategy,n,2,alternative,adj,1,
array,2,,2,strategy,n,2,coping,adj,1,
public,1,,5,view,n,2,alternative,adj,1,
acceptance,1,,5,view,n,2,conventional,adj,1,
,0,,5,view,n,2,negative,adj,1,
,0,,5,view,n,2,positive,adj,1,
,,,5,view,n,2,traditional,adj,1,
,,,3,way,n,2,alternative,adj,1,
,,,3,way,n,2,appropriate,adj,1,
,,,3,way,n,2,meaningful,adj,1,
,,,20,evidence,n,2,ample,adj,1,
,,,20,evidence,n,2,anecdotal,adj,1,
,,,20,evidence,n,2,available,adj,1,
,,,20,evidence,n,2,clear,adj,1,
,,,20,evidence,n,2,compelling,adj,1,
,,,20,evidence,n,2,considerable,adj,1,
,,,20,evidence,n,2,convincing,adj,1,
,,,20,evidence,n,2,direct,adj,1,
,,,20,evidence,n,2,documentary,adj,1,
,,,20,evidence,n,2,empirical,adj,1,
,,,20,evidence,n,2,experimental,adj,1,
,,,20,evidence,n,2,further,adj,1,
,,,20,evidence,n,2,historical,adj,1,
,,,20,evidence,n,2,little,adj,1,
,,,20,evidence,n,2,recent,adj,1,
,,,20,evidence,n,2,scientific,adj,1,
,,,20,evidence,n,2,strong,adj,1,
,,,20,evidence,n,2,substantial,adj,1,
,,,20,evidence,n,2,sufficient,adj,1,
,,,20,evidence,n,2,supporting,adj,1,
,,,3,tool,n,2,analytical,adj,1,
,,,3,tool,n,2,powerful,adj,1,
,,,3,tool,n,2,useful,adj,1,
,,,3,conference,n,2,annual,adj,1,
,,,3,conference,n,2,international,adj,1,
,,,3,conference,n,2,national,adj,1,
,,,1,meeting,n,2,annual,adj,1,
,,,4,rate,n,2,annual,adj,1,
,,,4,rate,n,2,constant,adj,1,
,,,4,rate,n,2,high,adj,1,
,,,4,rate,n,2,overall,adj,1,
,,,1,report,n,2,annual,adj,1,
,,,4,review,n,2,annual,adj,1,
,,,4,review,n,2,brief,adj,1,
,,,4,review,n,2,comprehensive,adj,1,
,,,4,review,n,2,critical,adj,1,
,,,8,theory,n,2,classical,adj,1,
,,,8,theory,n,2,critical,adj,1,
,,,8,theory,n,2,cultural,adj,1,
,,,8,theory,n,2,economic,adj,1,
,,,8,theory,n,2,evolutionary,adj,1,
,,,8,theory,n,2,general,adj,1,
,,,8,theory,n,2,scientific,adj,1,
,,,8,theory,n,2,social,adj,1,
,,,5,action,n,2,appropriate,adj,1,
,,,5,action,n,2,collective,adj,1,
,,,5,action,n,2,legal,adj,1,
,,,5,action,n,2,military,adj,1,
,,,5,action,n,2,positive,adj,1,
,,,8,condition,n,2,appropriate,adj,1,
,,,8,condition,n,2,climatic,adj,1,
,,,8,condition,n,2,economic,adj,1,
,,,8,condition,n,2,experimental,adj,1,
,,,8,condition,n,2,living,adj,1,
,,,8,condition,n,2,natural,adj,1,
,,,8,condition,n,2,normal,adj,1,
,,,8,condition,n,2,sufficient,adj,1,
,,,4,language,n,2,appropriate,adj,1,
,,,4,language,n,2,national,adj,1,
,,,4,language,n,2,natural,adj,1,
,,,4,language,n,2,verbal,adj,1,
,,,7,level,n,2,appropriate,adj,1,
,,,7,level,n,2,deep,adj,1,
,,,7,level,n,2,high,adj,1,
,,,7,level,n,2,increased,adj,1,
,,,7,level,n,2,low,adj,1,
,,,7,level,n,2,minimum,adj,1,
,,,7,level,n,2,overall,adj,1,
,,,7,point,n,2,appropriate,adj,1,
,,,7,point,n,2,central,adj,1,
,,,7,point,n,2,critical,adj,1,
,,,7,point,n,2,crucial,adj,1,
,,,7,point,n,2,final,adj,1,
,,,7,point,n,2,focal,adj,1,
,,,7,point,n,2,obvious,adj,1,
,,,3,response,n,2,appropriate,adj,1,
,,,3,response,n,2,emotional,adj,1,
,,,3,response,n,2,individual,adj,1,
,,,7,treatment,n,2,appropriate,adj,1,
,,,7,treatment,n,2,effective,adj,1,
,,,7,treatment,n,2,equal,adj,1,
,,,7,treatment,n,2,fair,adj,1,
,,,7,treatment,n,2,medical,adj,1,
,,,7,treatment,n,2,preferential,adj,1,
,,,7,treatment,n,2,unfair,adj,1,
,,,2,intelligence,n,2,artificial,adj,1,
,,,2,intelligence,n,2,emotional,adj,1,
,,,13,impact,n,2,direct,adj,1,
,,,13,impact,n,2,emotional,adj,1,
,,,13,impact,n,2,enormous,adj,1,
,,,13,impact,n,2,environmental,adj,1,
,,,13,impact,n,2,great,adj,1,
,,,13,impact,n,2,likely,adj,1,
,,,13,impact,n,2,little,adj,1,
,,,13,impact,n,2,major,adj,1,
,,,13,impact,n,2,negative,adj,1,
,,,13,impact,n,2,positive,adj,1,
,,,13,impact,n,2,potential,adj,1,
,,,13,impact,n,2,profound,adj,1,
