Headwords,# Collocates,Total headwords,# Collocates,Headword,POS,Position,Collocate,POS,Position,Total collocations
constant,1,,5,annual,adj,1,rate,n,2,
constituent,2,,5,annual,adj,1,report,n,2,
contemporary,5,,5,annual,adj,1,review,n,2,
contextual,1,,12,appropriate,adj,1,action,n,2,
continued,3,,12,appropriate,adj,1,behaviour,n,2,
continuous,1,,12,appropriate,adj,1,condition,n,2,
controversial,1,,12,appropriate,adj,1,data,n,2,
conventional,2,,12,appropriate,adj,1,form,n,2,
convincing,1,,12,appropriate,adj,1,language,n,2,
coping,1,,12,appropriate,adj,1,level,n,2,
core,5,,12,appropriate,adj,1,point,n,2,
correct,1,,12,appropriate,adj,1,response,n,2,
counter,1,,12,appropriate,adj,1,skill,n,2,
creative,3,,12,appropriate,adj,1,treatment,n,2,
criminal,1,,12,appropriate,adj,1,way,n,2,
critical,20,,1,armed,adj,1,conflict,n,2,
crucial,7,,1,artificial,adj,1,intelligence,n,2,
cultural,26,,1,associated,adj,1,factor,n,2,
current,7,,1,atomic,adj,1,energy,n,2,
daily,1,,4,available,adj,1,data,n,2,
deep,2,,4,available,adj,1,evidence,n,2,
defining,3,,4,available,adj,1,information,n,2,
deliberate,1,,4,available,adj,1,resource,n,2,
democratic,4,,1,average,adj,1,score,n,2,
demographic,3,,11,basic,adj,1,assumption,n,2,
dependent,1,,11,basic,adj,1,component,n,2,
descriptive,1,,11,basic,adj,1,concept,n,2,
desired,1,,11,basic,adj,1,element,n,2,
detailed,4,,11,basic,adj,1,function,n,2,
developmental,2,,11,basic,adj,1,information,n,2,
diagnostic,1,,11,basic,adj,1,premise,n,2,
digital,3,,11,basic,adj,1,principle,n,2,
direct,11,,11,basic,adj,1,research,n,2,
disposable,1,,11,basic,adj,1,structure,n,2,
distinct,2,,11,basic,adj,1,technique,n,2,
distinctive,1,,1,beneficial,adj,1,effect,n,2,
distinguishing,1,,2,binary,adj,1,opposition,n,2,
diverse,3,,2,binary,adj,1,system,n,2,
dividing,1,,3,biological,adj,1,evolution,n,2,
documentary,1,,3,biological,adj,1,science,n,2,
domestic,3,,3,biological,adj,1,sex,n,2,
dominant,8,,10,brief,adj,1,account,n,2,
dramatic,3,,10,brief,adj,1,description,n,2,
driving,1,,10,brief,adj,1,discussion,n,2,
due,1,,10,brief,adj,1,history,n,2,
dynamic,4,,10,brief,adj,1,introduction,n,2,
early,9,,10,brief,adj,1,overview,n,2,
easy,1,,10,brief,adj,1,period,n,2,
economic,33,,10,brief,adj,1,review,n,2,
educational,9,,10,brief,adj,1,summary,n,2,
effective,8,,10,brief,adj,1,time,n,2,
electronic,5,,6,broad,adj,1,agreement,n,2,
emotional,5,,6,broad,adj,1,category,n,2,
empirical,7,,6,broad,adj,1,definition,n,2,
enormous,2,,6,broad,adj,1,range,n,2,
entire,2,,6,broad,adj,1,spectrum,n,2,
environmental,12,,6,broad,adj,1,context,n,2,
equal,4,,5,capitalist,adj,1,country,n,2,
essential,6,,5,capitalist,adj,1,economy,n,2,
established,3,,5,capitalist,adj,1,society,n,2,
ethical,6,,5,capitalist,adj,1,system,n,2,
ethnic,7,,5,capitalist,adj,1,world,n,2,
evolutionary,2,,4,careful,adj,1,analysis,n,2,
exceptional,2,,4,careful,adj,1,attention,n,2,
existing,3,,4,careful,adj,1,consideration,n,2,
experiential,1,,4,careful,adj,1,thought,n,2,
experimental,9,,3,causal,adj,1,link,n,2,
explanatory,1,,3,causal,adj,1,relation,n,2,
extended,1,,3,causal,adj,1,relationship,n,2,
extensive,1,,18,central,adj,1,authority,n,2,
external,7,,18,central,adj,1,concept,n,2,
facial,1,,18,central,adj,1,concern,n,2,
factual,1,,18,central,adj,1,control,n,2,
fair,1,,18,central,adj,1,core,n,2,
federal,3,,18,central,adj,1,feature,n,2,
feminist,1,,18,central,adj,1,focus,n,2,
final,14,,18,central,adj,1,government,n,2,
financial,8,,18,central,adj,1,importance,n,2,
finite,1,,18,central,adj,1,issue,n,2,
first,8,,18,central,adj,1,part,n,2,
flexible,1,,18,central,adj,1,point,n,2,
focal,1,,18,central,adj,1,position,n,2,
following,1,,18,central,adj,1,problem,n,2,
foreign,4,,18,central,adj,1,question,n,2,
formal,1,,18,central,adj,1,role,n,2,
free,2,,18,central,adj,1,tenet,n,2,
full,7,,18,central,adj,1,theme,n,2,
functional,1,,4,certain,adj,1,aspect,n,2,
fundamental,9,,4,certain,adj,1,assumption,n,2,
further,9,,4,certain,adj,1,characteristic,n,2,
future,4,,4,certain,adj,1,circumstance,n,2,
general,16,,6,changing,adj,1,attitude,n,2,
genetic,1,,6,changing,adj,1,circumstance,n,2,
geographical,3,,6,changing,adj,1,nature,n,2,
given,2,,6,changing,adj,1,need,n,2,
global,14,,6,changing,adj,1,pattern,n,2,
graphical,1,,6,changing,adj,1,world,n,2,
great,14,,1,characteristic,adj,1,feature,n,2,
growing,2,,1,chemical,adj,1,reaction,n,2,
guiding,1,,2,civil,adj,1,case,n,2,
heated,1,,2,civil,adj,1,society,n,2,
hierarchical,1,,4,classic,adj,1,example,n,2,
high,23,,4,classic,adj,1,study,n,2,
historical,20,,4,classic,adj,1,text,n,2,
holistic,1,,4,classic,adj,1,work,n,2,
homogeneous,1,,1,classical,adj,1,theory,n,2,
huge,1,,8,clear,adj,1,boundary,n,2,
human,5,,8,clear,adj,1,distinction,n,2,
immediate,1,,8,clear,adj,1,evidence,n,2,
imported,2,,8,clear,adj,1,focus,n,2,
improved,1,,8,clear,adj,1,indication,n,2,
increased,11,,8,clear,adj,1,relationship,n,2,
increasing,10,,8,clear,adj,1,statement,n,2,
independent,2,,8,clear,adj,1,structure,n,2,
indigenous,2,,1,climatic,adj,1,condition,n,2,
individual,16,,7,close,adj,1,contact,n,2,
industrial,5,,7,close,adj,1,proximity,n,2,
industrialized,2,,7,close,adj,1,relationship,n,2,
infinite,1,,7,close,adj,1,scrutiny,n,2,
informed,1,,7,close,adj,1,examination,n,2,
initial,5,,7,close,adj,1,inspection,n,2,
institutional,5,,7,close,adj,1,look,n,2,
integral,1,,3,cognitive,adj,1,ability,n,2,
integrated,2,,3,cognitive,adj,1,development,n,2,
intellectual,2,,3,cognitive,adj,1,skill,n,2,
intensive,1,,1,collaborative,adj,1,learning,n,2,
interested,1,,3,collective,adj,1,action,n,2,
internal,6,,3,collective,adj,1,identity,n,2,
international,8,,3,collective,adj,1,memory,n,2,
interpersonal,2,,1,combined,adj,1,effect,n,2,
intimate,1,,2,commercial,adj,1,activity,n,2,
intrinsic,1,,2,commercial,adj,1,transaction,n,2,
introductory,3,,12,common,adj,1,ancestor,n,2,
key,19,,12,common,adj,1,approach,n,2,
large,6,,12,common,adj,1,assumption,n,2,
late,2,,12,common,adj,1,characteristic,n,2,
leading,1,,12,common,adj,1,culture,n,2,
learning,1,,12,common,adj,1,error,n,2,
legal,13,,12,common,adj,1,feature,n,2,
legislative,2,,12,common,adj,1,goal,n,2,
liberal,1,,12,common,adj,1,method,n,2,
lifelong,1,,12,common,adj,1,source,n,2,
likely,2,,12,common,adj,1,theme,n,2,
limited,6,,12,common,adj,1,usage,n,2,
linear,1,,3,comparative,adj,1,analysis,n,2,
literal,3,,3,comparative,adj,1,research,n,2,
literary,2,,3,comparative,adj,1,study,n,2,
little,5,,3,compelling,adj,1,argument,n,2,
living,3,,3,compelling,adj,1,evidence,n,2,
local,7,,3,compelling,adj,1,reason,n,2,
logical,3,,2,competitive,adj,1,market,n,2,
long,1,,2,competitive,adj,1,pressure,n,2,
longitudinal,1,,12,complex,adj,1,area,n,2,
low,13,,12,complex,adj,1,interaction,n,2,
main,16,,12,complex,adj,1,issue,n,2,
major,24,,12,complex,adj,1,pattern,n,2,
male,1,,12,complex,adj,1,problem,n,2,
manual,1,,12,complex,adj,1,process,n,2,
manufacturing,1,,12,complex,adj,1,question,n,2,
marked,1,,12,complex,adj,1,relationship,n,2,
maximum,1,,12,complex,adj,1,set,n,2,
mean,1,,12,complex,adj,1,situation,n,2,
meaningful,1,,12,complex,adj,1,structure,n,2,
medical,2,,12,complex,adj,1,system,n,2,
mental,3,,5,comprehensive,adj,1,account,n,2,
methodological,3,,5,comprehensive,adj,1,approach,n,2,
metropolitan,1,,5,comprehensive,adj,1,overview,n,2,
middle,2,,5,comprehensive,adj,1,review,n,2,
migrant,1,,5,comprehensive,adj,1,system,n,2,
military,4,,1,conceptual,adj,1,framework,n,2,
minimum,5,,1,concerted,adj,1,effort,n,2,
minor,2,,2,concluding,adj,1,remark,n,2,
missing,1,,2,concluding,adj,1,section,n,2,
modern,4,,1,conditional,adj,1,probability,n,2,
modified,2,,1,conflicting,adj,1,interest,n,2,
moral,3,,14,considerable,adj,1,amount,n,2,
multiple,2,,14,considerable,adj,1,attention,n,2,
municipal,1,,14,considerable,adj,1,debate,n,2,
mutual,4,,14,considerable,adj,1,degree,n,2,
narrow,2,,14,considerable,adj,1,detail,n,2,
national,19,,14,considerable,adj,1,effort,n,2,
native,1,,14,considerable,adj,1,evidence,n,2,
natural,14,,14,considerable,adj,1,extent,n,2,
necessary,1,,14,considerable,adj,1,importance,n,2,
negative,13,,14,considerable,adj,1,influence,n,2,
new,3,,14,considerable,adj,1,interest,n,2,
next,3,,14,considerable,adj,1,research,n,2,
normal,4,,14,considerable,adj,1,support,n,2,
notable,1,,14,considerable,adj,1,variation,n,2,
nuclear,5,,2,consistent,adj,1,pattern,n,2,
numerical,2,,2,consistent,adj,1,result,n,2,
numerous,1,,1,constant,adj,1,rate,n,2,
objective,2,,2,constituent,adj,1,element,n,2,
obvious,4,,2,constituent,adj,1,part,n,2,
official,1,,5,contemporary,adj,1,debate,n,2,
ongoing,2,,5,contemporary,adj,1,issue,n,2,
online,4,,5,contemporary,adj,1,life,n,2,
open,1,,5,contemporary,adj,1,society,n,2,
opening,2,,5,contemporary,adj,1,world,n,2,
optimal,1,,1,contextual,adj,1,factor,n,2,
oral,2,,3,continued,adj,1,existence,n,2,
organising,1,,3,continued,adj,1,growth,n,2,
organizational,1,,3,continued,adj,1,use,n,2,
original,12,,1,continuous,adj,1,process,n,2,
overall,7,,1,controversial,adj,1,issue,n,2,
overwhelming,1,,2,conventional,adj,1,view,n,2,
paid,1,,2,conventional,adj,1,wisdom,n,2,
paramount,1,,1,convincing,adj,1,evidence,n,2,
particular,7,,1,coping,adj,1,strategy,n,2,
past,1,,5,core,adj,1,area,n,2,
perceived,3,,5,core,adj,1,element,n,2,
personal,14,,5,core,adj,1,issue,n,2,
physical,16,,5,core,adj,1,skill,n,2,
pioneering,1,,5,core,adj,1,value,n,2,
pivotal,1,,1,correct,adj,1,interpretation,n,2,
plausible,1,,1,counter,adj,1,argument,n,2,
political,39,,3,creative,adj,1,process,n,2,
popular,2,,3,creative,adj,1,thinking,n,2,
positive,17,,3,creative,adj,1,work,n,2,
possible,4,,1,criminal,adj,1,offence,n,2,
potential,9,,20,critical,adj,1,analysis,n,2,
powerful,4,,20,critical,adj,1,approach,n,2,
practical,4,,20,critical,adj,1,attention,n,2,
preceding,3,,20,critical,adj,1,essay,n,2,
precise,2,,20,critical,adj,1,evaluation,n,2,
predictive,1,,20,critical,adj,1,examination,n,2,
preferential,1,,20,critical,adj,1,factor,n,2,
preliminary,3,,20,critical,adj,1,importance,n,2,
premature,1,,20,critical,adj,1,inquiry,n,2,
present,1,,20,critical,adj,1,introduction,n,2,
presidential,1,,20,critical,adj,1,issue,n,2,
previous,12,,20,critical,adj,1,perspective,n,2,
primary,14,,20,critical,adj,1,point,n,2,
prime,2,,20,critical,adj,1,reflection,n,2,
principal,1,,20,critical,adj,1,review,n,2,
prior,2,,20,critical,adj,1,role,n,2,
private,4,,20,critical,adj,1,scrutiny,n,2,
privileged,1,,20,critical,adj,1,theory,n,2,
professional,14,,20,critical,adj,1,thinking,n,2,
profound,2,,20,critical,adj,1,writing,n,2,
prominent,3,,7,crucial,adj,1,difference,n,2,
proposed,1,,7,crucial,adj,1,factor,n,2,
public,19,,7,crucial,adj,1,importance,n,2,
published,4,,7,crucial,adj,1,part,n,2,
purchasing,1,,7,crucial,adj,1,point,n,2,
qualitative,6,,7,crucial,adj,1,question,n,2,
quantitative,7,,7,crucial,adj,1,role,n,2,
racial,5,,26,cultural,adj,1,activity,n,2,
radical,4,,26,cultural,adj,1,aspect,n,2,
random,3,,26,cultural,adj,1,attitude,n,2,
rapid,1,,26,cultural,adj,1,background,n,2,
raw,1,,26,cultural,adj,1,boundary,n,2,
ready,1,,26,cultural,adj,1,change,n,2,
real,1,,26,cultural,adj,1,context,n,2,
recent,5,,26,cultural,adj,1,difference,n,2,
reciprocal,1,,26,cultural,adj,1,dimension,n,2,
recurrent,1,,26,cultural,adj,1,diversity,n,2,
reflective,2,,26,cultural,adj,1,factor,n,2,
regional,3,,26,cultural,adj,1,heritage,n,2,
regulatory,2,,26,cultural,adj,1,history,n,2,
related,9,,26,cultural,adj,1,identity,n,2,
relative,3,,26,cultural,adj,1,influence,n,2,
relevant,6,,26,cultural,adj,1,institution,n,2,
reliable,2,,26,cultural,adj,1,issue,n,2,
religious,7,,26,cultural,adj,1,life,n,2,
renewable,1,,26,cultural,adj,1,norm,n,2,
renewed,1,,26,cultural,adj,1,perspective,n,2,
representative,1,,26,cultural,adj,1,phenomenon,n,2,
revised,2,,26,cultural,adj,1,practice,n,2,
rich,1,,26,cultural,adj,1,significance,n,2,
rising,1,,26,cultural,adj,1,theory,n,2,
ruling,2,,26,cultural,adj,1,tradition,n,2,
rural,5,,26,cultural,adj,1,value,n,2,
safe,1,,7,current,adj,1,climate,n,2,
salient,2,,7,current,adj,1,issue,n,2,
scarce,1,,7,current,adj,1,policy,n,2,
schematic,1,,7,current,adj,1,research,n,2,
scholarly,4,,7,current,adj,1,status,n,2,
scientific,8,,7,current,adj,1,technology,n,2,
secondary,3,,7,current,adj,1,trend,n,2,
seminal,2,,1,daily,adj,1,living,n,2,
senior,1,,2,deep,adj,1,understanding,n,2,
separate,1,,2,deep,adj,1,level,n,2,
serious,3,,3,defining,adj,1,characteristic,n,2,
sexual,10,,3,defining,adj,1,concept,n,2,
shared,3,,3,defining,adj,1,feature,n,2,
sharp,2,,1,deliberate,adj,1,attempt,n,2,
short,2,,4,democratic,adj,1,institution,n,2,
significant,26,,4,democratic,adj,1,process,n,2,
similar,9,,4,democratic,adj,1,society,n,2,
simple,1,,4,democratic,adj,1,state,n,2,
simplified,1,,3,demographic,adj,1,change,n,2,
single,7,,3,demographic,adj,1,characteristic,n,2,
skilled,1,,3,demographic,adj,1,factor,n,2,
slow,1,,1,dependent,adj,1,variable,n,2,
small,6,,1,descriptive,adj,1,statistic,n,2,
social,43,,1,desired,adj,1,outcome,n,2,
socioeconomic,1,,4,detailed,adj,1,analysis,n,2,
solar,4,,4,detailed,adj,1,examination,n,2,
sovereign,1,,4,detailed,adj,1,information,n,2,
special,5,,4,detailed,adj,1,study,n,2,
specific,22,,2,developmental,adj,1,process,n,2,
standard,4,,2,developmental,adj,1,stage,n,2,
stark,1,,1,diagnostic,adj,1,test,n,2,
statistical,7,,3,digital,adj,1,information,n,2,
strategic,5,,3,digital,adj,1,medium,n,2,
striking,3,,3,digital,adj,1,technology,n,2,
strong,8,,11,direct,adj,1,access,n,2,
structural,5,,11,direct,adj,1,communication,n,2,
subject,1,,11,direct,adj,1,consequence,n,2,
subsequent,5,,11,direct,adj,1,contact,n,2,
substantial,5,,11,direct,adj,1,evidence,n,2,
successful,1,,11,direct,adj,1,impact,n,2,
sufficient,5,,11,direct,adj,1,involvement,n,2,
superior,1,,11,direct,adj,1,link,n,2,
supporting,1,,11,direct,adj,1,observation,n,2,
symbiotic,1,,11,direct,adj,1,relationship,n,2,
systematic,3,,11,direct,adj,1,role,n,2,
tacit,1,,1,disposable,adj,1,income,n,2,
technical,10,,2,distinct,adj,1,group,n,2,
technological,5,,2,distinct,adj,1,type,n,2,
textual,1,,1,distinctive,adj,1,feature,n,2,
thematic,1,,1,distinguishing,adj,1,feature,n,2,
theoretical,12,,3,diverse,adj,1,background,n,2,
third,1,,3,diverse,adj,1,group,n,2,
top,1,,3,diverse,adj,1,range,n,2,
total,1,,1,dividing,adj,1,line,n,2,
traditional,9,,1,documentary,adj,1,evidence,n,2,
transferable,1,,3,domestic,adj,1,market,n,2,
typical,1,,3,domestic,adj,1,sphere,n,2,
ultimate,1,,3,domestic,adj,1,violence,n,2,
underlying,6,,8,dominant,adj,1,culture,n,2,
unequal,1,,8,dominant,adj,1,discourse,n,2,
unfair,1,,8,dominant,adj,1,form,n,2,
unintended,1,,8,dominant,adj,1,group,n,2,
unique,3,,8,dominant,adj,1,ideology,n,2,
unlimited,1,,8,dominant,adj,1,paradigm,n,2,
unskilled,1,,8,dominant,adj,1,position,n,2,
urban,5,,8,dominant,adj,1,role,n,2,
useful,6,,3,dramatic,adj,1,change,n,2,
valid,1,,3,dramatic,adj,1,effect,n,2,
valuable,2,,3,dramatic,adj,1,increase,n,2,
various,1,,1,driving,adj,1,force,n,2,
varying,1,,1,due,adj,1,process,n,2,
vast,7,,4,dynamic,adj,1,equilibrium,n,2,
verbal,2,,4,dynamic,adj,1,nature,n,2,
vested,1,,4,dynamic,adj,1,process,n,2,
virtual,1,,4,dynamic,adj,1,system,n,2,
visual,4,,9,early,adj,1,discussion,n,2,
vital,3,,9,early,adj,1,period,n,2,
vulnerable,1,,9,early,adj,1,research,n,2,
western,3,,9,early,adj,1,stage,n,2,
whole,3,,9,early,adj,1,study,n,2,
wide,11,,9,early,adj,1,time,n,2,
widespread,4,,9,early,adj,1,version,n,2,
written,3,,9,early,adj,1,work,n,2,
young,1,,9,early,adj,1,decade,n,2,
,0,,1,easy,adj,1,access,n,2,
,0,,33,economic,adj,1,activity,n,2,
,,,33,economic,adj,1,affair,n,2,
,,,33,economic,adj,1,analysis,n,2,
,,,33,economic,adj,1,benefit,n,2,
,,,33,economic,adj,1,change,n,2,
,,,33,economic,adj,1,condition,n,2,
,,,33,economic,adj,1,consequence,n,2,
,,,33,economic,adj,1,context,n,2,
,,,33,economic,adj,1,crisis,n,2,
,,,33,economic,adj,1,exploitation,n,2,
,,,33,economic,adj,1,factor,n,2,
,,,33,economic,adj,1,force,n,2,
,,,33,economic,adj,1,goal,n,2,
,,,33,economic,adj,1,growth,n,2,
,,,33,economic,adj,1,inequality,n,2,
,,,33,economic,adj,1,integration,n,2,
,,,33,economic,adj,1,interest,n,2,
,,,33,economic,adj,1,policy,n,2,
,,,33,economic,adj,1,power,n,2,
,,,33,economic,adj,1,prosperity,n,2,
,,,33,economic,adj,1,reform,n,2,
,,,33,economic,adj,1,relation,n,2,
,,,33,economic,adj,1,relationship,n,2,
,,,33,economic,adj,1,resource,n,2,
,,,33,economic,adj,1,sector,n,2,
,,,33,economic,adj,1,stability,n,2,
,,,33,economic,adj,1,status,n,2,
,,,33,economic,adj,1,structure,n,2,
,,,33,economic,adj,1,success,n,2,
,,,33,economic,adj,1,system,n,2,
,,,33,economic,adj,1,theory,n,2,
,,,33,economic,adj,1,value,n,2,
,,,33,economic,adj,1,welfare,n,2,
,,,9,educational,adj,1,institution,n,2,
,,,9,educational,adj,1,opportunity,n,2,
,,,9,educational,adj,1,policy,n,2,
,,,9,educational,adj,1,programme,n,2,
,,,9,educational,adj,1,provision,n,2,
,,,9,educational,adj,1,qualification,n,2,
,,,9,educational,adj,1,research,n,2,
,,,9,educational,adj,1,setting,n,2,
,,,9,educational,adj,1,system,n,2,
,,,8,effective,adj,1,communication,n,2,
,,,8,effective,adj,1,implementation,n,2,
,,,8,effective,adj,1,intervention,n,2,
,,,8,effective,adj,1,management,n,2,
,,,8,effective,adj,1,method,n,2,
,,,8,effective,adj,1,participation,n,2,
,,,8,effective,adj,1,policy,n,2,
,,,8,effective,adj,1,treatment,n,2,
,,,5,electronic,adj,1,access,n,2,
,,,5,electronic,adj,1,communication,n,2,
,,,5,electronic,adj,1,medium,n,2,
,,,5,electronic,adj,1,resource,n,2,
,,,5,electronic,adj,1,version,n,2,
,,,5,emotional,adj,1,impact,n,2,
,,,5,emotional,adj,1,intelligence,n,2,
,,,5,emotional,adj,1,reaction,n,2,
,,,5,emotional,adj,1,response,n,2,
,,,5,emotional,adj,1,support,n,2,
,,,7,empirical,adj,1,data,n,2,
,,,7,empirical,adj,1,evidence,n,2,
,,,7,empirical,adj,1,investigation,n,2,
,,,7,empirical,adj,1,research,n,2,
,,,7,empirical,adj,1,study,n,2,
,,,7,empirical,adj,1,support,n,2,
,,,7,empirical,adj,1,work,n,2,
,,,2,enormous,adj,1,amount,n,2,
,,,2,enormous,adj,1,impact,n,2,
,,,2,entire,adj,1,period,n,2,
,,,2,entire,adj,1,range,n,2,
,,,12,environmental,adj,1,change,n,2,
,,,12,environmental,adj,1,concern,n,2,
,,,12,environmental,adj,1,consequence,n,2,
,,,12,environmental,adj,1,damage,n,2,
,,,12,environmental,adj,1,degradation,n,2,
,,,12,environmental,adj,1,effect,n,2,
,,,12,environmental,adj,1,factor,n,2,
,,,12,environmental,adj,1,impact,n,2,
,,,12,environmental,adj,1,issue,n,2,
,,,12,environmental,adj,1,policy,n,2,
,,,12,environmental,adj,1,pollution,n,2,
,,,12,environmental,adj,1,protection,n,2,
,,,4,equal,adj,1,access,n,2,
,,,4,equal,adj,1,opportunity,n,2,
,,,4,equal,adj,1,status,n,2,
,,,4,equal,adj,1,treatment,n,2,
,,,6,essential,adj,1,component,n,2,
,,,6,essential,adj,1,element,n,2,
,,,6,essential,adj,1,feature,n,2,
,,,6,essential,adj,1,function,n,2,
,,,6,essential,adj,1,information,n,2,
,,,6,essential,adj,1,role,n,2,
,,,3,established,adj,1,order,n,2,
,,,3,established,adj,1,practice,n,2,
,,,3,established,adj,1,principle,n,2,
,,,6,ethical,adj,1,consideration,n,2,
,,,6,ethical,adj,1,dilemma,n,2,
,,,6,ethical,adj,1,issue,n,2,
,,,6,ethical,adj,1,principle,n,2,
,,,6,ethical,adj,1,problem,n,2,
,,,6,ethical,adj,1,question,n,2,
,,,7,ethnic,adj,1,community,n,2,
,,,7,ethnic,adj,1,difference,n,2,
,,,7,ethnic,adj,1,diversity,n,2,
,,,7,ethnic,adj,1,group,n,2,
,,,7,ethnic,adj,1,identity,n,2,
,,,7,ethnic,adj,1,minority,n,2,
,,,7,ethnic,adj,1,origin,n,2,
,,,2,evolutionary,adj,1,process,n,2,
,,,2,evolutionary,adj,1,theory,n,2,
,,,2,exceptional,adj,1,case,n,2,
,,,2,exceptional,adj,1,circumstance,n,2,
,,,3,existing,adj,1,data,n,2,
,,,3,existing,adj,1,research,n,2,
,,,3,existing,adj,1,structure,n,2,
,,,1,experiential,adj,1,learning,n,2,
,,,9,experimental,adj,1,condition,n,2,
,,,9,experimental,adj,1,data,n,2,
,,,9,experimental,adj,1,design,n,2,
,,,9,experimental,adj,1,evidence,n,2,
,,,9,experimental,adj,1,method,n,2,
,,,9,experimental,adj,1,research,n,2,
,,,9,experimental,adj,1,result,n,2,
,,,9,experimental,adj,1,study,n,2,
,,,9,experimental,adj,1,work,n,2,
,,,1,explanatory,adj,1,power,n,2,
,,,1,extended,adj,1,period,n,2,
,,,1,extensive,adj,1,research,n,2,
,,,7,external,adj,1,environment,n,2,
,,,7,external,adj,1,factor,n,2,
,,,7,external,adj,1,force,n,2,
,,,7,external,adj,1,influence,n,2,
,,,7,external,adj,1,source,n,2,
,,,7,external,adj,1,threat,n,2,
,,,7,external,adj,1,world,n,2,
,,,1,facial,adj,1,expression,n,2,
,,,1,factual,adj,1,information,n,2,
,,,1,fair,adj,1,treatment,n,2,
,,,3,federal,adj,1,agency,n,2,
,,,3,federal,adj,1,government,n,2,
,,,3,federal,adj,1,state,n,2,
,,,1,feminist,adj,1,movement,n,2,
,,,14,final,adj,1,analysis,n,2,
,,,14,final,adj,1,answer,n,2,
,,,14,final,adj,1,chapter,n,2,
,,,14,final,adj,1,decision,n,2,
,,,14,final,adj,1,outcome,n,2,
,,,14,final,adj,1,phase,n,2,
,,,14,final,adj,1,point,n,2,
,,,14,final,adj,1,position,n,2,
,,,14,final,adj,1,product,n,2,
,,,14,final,adj,1,result,n,2,
,,,14,final,adj,1,section,n,2,
,,,14,final,adj,1,stage,n,2,
,,,14,final,adj,1,step,n,2,
,,,14,final,adj,1,version,n,2,
,,,8,financial,adj,1,affair,n,2,
,,,8,financial,adj,1,assistance,n,2,
,,,8,financial,adj,1,institution,n,2,
,,,8,financial,adj,1,management,n,2,
,,,8,financial,adj,1,market,n,2,
,,,8,financial,adj,1,problem,n,2,
,,,8,financial,adj,1,resource,n,2,
,,,8,financial,adj,1,support,n,2,
,,,1,finite,adj,1,number,n,2,
,,,8,first,adj,1,author,n,2,
,,,8,first,adj,1,contact,n,2,
